index,Unassigned;__;__,k__Archaea;__;__,k__Archaea;p__Aenigmarchaeota;__,k__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG),k__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,k__Bacteria;__;__,k__Bacteria;p__Acidobacteriota;c__Acidobacteriae,k__Bacteria;p__Acidobacteriota;c__Blastocatellia,k__Bacteria;p__Acidobacteriota;c__Holophagae,k__Bacteria;p__Acidobacteriota;c__Subgroup_22,k__Bacteria;p__Acidobacteriota;c__Subgroup_26,k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria,k__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,k__Bacteria;p__Actinobacteriota;c__Actinobacteria,k__Bacteria;p__Actinobacteriota;c__Coriobacteriia,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia,k__Bacteria;p__Bacteroidota;c__Bacteroidia,k__Bacteria;p__Bacteroidota;c__Kapabacteria,k__Bacteria;p__Bacteroidota;c__Rhodothermia,k__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,k__Bacteria;p__Calditrichota;c__Calditrichia,k__Bacteria;p__Campilobacterota;c__Campylobacteria,k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Chloroflexi;c__Chloroflexia,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,k__Bacteria;p__Cyanobacteria;c__Sericytochromatia,k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,k__Bacteria;p__Dadabacteria;c__Dadabacteriia,k__Bacteria;p__Deferribacterota;c__Deferribacteres,k__Bacteria;p__Dependentiae;c__Babeliae,k__Bacteria;p__Desulfobacterota;c__,k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,k__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,k__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,k__Bacteria;p__Fibrobacterota;c__Fibrobacteria,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Negativicutes,k__Bacteria;p__Fusobacteriota;c__Fusobacteriia,k__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes,k__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia,k__Bacteria;p__Latescibacterota;c__Latescibacterota,k__Bacteria;p__Margulisbacteria;c__Margulisbacteria,k__Bacteria;p__Myxococcota;c__Polyangia,k__Bacteria;p__NB1-j;c__NB1-j,k__Bacteria;p__Nitrospinota;c__Nitrospinia,k__Bacteria;p__Nitrospirota;c__Nitrospiria,k__Bacteria;p__Patescibacteria;c__ABY1,k__Bacteria;p__Patescibacteria;c__Gracilibacteria,k__Bacteria;p__Patescibacteria;c__Parcubacteria,k__Bacteria;p__Patescibacteria;c__Saccharimonadia,k__Bacteria;p__Planctomycetota;c__BD7-11,k__Bacteria;p__Planctomycetota;c__OM190,k__Bacteria;p__Planctomycetota;c__Phycisphaerae,k__Bacteria;p__Planctomycetota;c__Pla3_lineage,k__Bacteria;p__Planctomycetota;c__Pla4_lineage,k__Bacteria;p__Planctomycetota;c__Planctomycetes,k__Bacteria;p__Planctomycetota;c__vadinHA49,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota;c__Brachyspirae,k__Bacteria;p__Spirochaetota;c__Leptospirae,k__Bacteria;p__Spirochaetota;c__Spirochaetia,k__Bacteria;p__Sumerlaeota;c__Sumerlaeia,k__Bacteria;p__Synergistota;c__Synergistia,k__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,k__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,k__Bacteria;p__Verrucomicrobiota;c__Omnitrophia,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,group1
M7I1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,3273.0,2.0,5.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,438.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,310.0,MucusRes
M7I2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1603.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1179.0,MucusRes
M7I3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,911.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1886.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1491.0,MucusRes
M7I4,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,74.0,26.0,0.0,1716.0,0.0,12.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,116.0,0.0,0.0,0.0,196.0,285.0,15.0,3.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,617.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,MucusRes
M7I5,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1854.0,0.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1298.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,363.0,MucusInf
M10I1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,0.0,1574.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,0.0,5.0,0.0,105.0,454.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0,MucusRes
M10I2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1744.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,7.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,1031.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.0,MucusInf
M10I3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,0.0,0.0,677.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,MucusInf
M10I4,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1621.0,0.0,12.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,14.0,0.0,113.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,805.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,MucusRes
M10I5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,2010.0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,142.0,0.0,8.0,0.0,124.0,164.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,312.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,MucusInf
M10I6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1852.0,0.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0,0.0,9.0,0.0,110.0,112.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,456.0,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,MucusRes
M10I7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,0.0,1491.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,0.0,8.0,0.0,125.0,363.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,651.0,800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,MucusRes
M10I8,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1905.0,1.0,10.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,13.0,0.0,201.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,703.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,MucusRes
M0C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,2723.0,0.0,7.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,12.0,0.0,0.0,7.0,0.0,1.0,2.0,4.0,0.0,11.0,6.0,1.0,0.0,11.0,0.0,415.0,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,124.0,MucusCont
M0C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2631.0,2.0,7.0,91.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,41.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,83.0,17.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,27.0,6.0,2.0,3.0,11.0,2.0,230.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,479.0,MucusCont
M0C3,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,42.0,0.0,1971.0,3.0,4.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,39.0,0.0,0.0,0.0,332.0,851.0,41.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,299.0,942.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,157.0,MucusCont
M0C4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3316.0,0.0,5.0,65.0,0.0,74.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,5.0,0.0,20.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,176.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,209.0,MucusCont
M0C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2271.0,0.0,2.0,5.0,0.0,44.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,703.0,MucusCont
M4C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.0,0.0,0.0,2.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,690.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,747.0,MucusCont
M4C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.0,0.0,2.0,4.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,691.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1041.0,MucusCont
M4C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,133.0,122.0,0.0,1185.0,0.0,3.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,0.0,0.0,0.0,440.0,1159.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,108.0,1410.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,0.0,92.0,MucusCont
M4C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2264.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,527.0,MucusCont
M4C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.0,0.0,0.0,6.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,789.0,MucusCont
M7C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2126.0,0.0,5.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,876.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,MucusCont
M7C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1230.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,0.0,8.0,0.0,93.0,67.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1155.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.0,MucusCont
M7C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,797.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,MucusCont
M7C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1512.0,0.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1188.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,MucusCont
M7C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1952.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,131.0,1728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,MucusCont
M10C1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1628.0,0.0,3.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,557.0,0.0,14.0,0.0,26.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,919.0,1175.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,233.0,MucusCont
M10C2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751.0,0.0,5.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,61.0,0.0,820.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,MucusCont
M10C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.0,0.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,71.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,48.0,0.0,784.0,1177.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,852.0,MucusCont
M10C5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,0.0,12.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,8.0,0.0,756.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,MucusCont
Gi10I8,28.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,365.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,0.0,0.0,247.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,380.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3221.0,MucusRes
Gi10I9,47.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,1.0,0.0,300.0,46.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,279.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3323.0,MucusInf
Gi10C4,108.0,882.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,492.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,1174.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,124.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,GillCont
M10I9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225.0,0.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0,0.0,4.0,0.0,12.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,332.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,MucusInf
M10I10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932.0,1.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,310.0,0.0,3.0,0.0,3.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,612.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.0,MucusRes
M10C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,0.0,3.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,35.0,0.0,695.0,1463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,MucusCont
